songs,artists,lyrics,length
What About Your Friends,TLC,"what, friends? friends? every then, get little crazy that's way supposed sometimes vision little hazy can't tell trust let trust me, yeah people try say act little funny that's figure speech tell changed got money before, still me, yeah friends? stand ground? let again? friends? gonna low down? ever around turn back you? well, me, i'm little friendly speak, hypothetically say? supply creativity others must take form self-hate make enemy result unfortunate destiny dog next 'cause choose envy every then, get little easy let lot people depend never thought would ever deceive know time got rough standing i'll never let another get close see, i've grown lot smarter sometimes choose see friend true, they'll thick thin friends? (what friends?) stand ground? let again? (oh-oh, whoa) friends? (what friends?) gonna low (be low down) ever around (be around) turn back you? friends? (what friends?) stand ground? (stand ground) let again? (oh) friends? (what friends?) gonna low down? (be low down) ever around (be around) (oh) turn back you? yo, me? go little friendly? speak hypothetically say? supply creativity others must take form self-hate make enemy, result unfortunate destiny dog next cause choose envy friends? stand ground? let again? (whoa) friends? (what friends?) gonna low down? (be low down) ever around (be around) turn back you? friends? stand ground? (will stand ground?) let again? (oh, oh, oh) friends? (what friends?) gonna low down? (be low down) ever around (be around) (oh) turn back you? people say act little funny change, money i'll friend long friend yeah, yeah (what friends?) even though might easy give cause deceive way want friend ever friends? stand ground? let again? (whoa) friends? (what friends?) gonna low down? (be low down) ever around (will ever around) turn back you? (or turn back you?) friends? stand ground? (stand ground) let again? friends?",3571
Thinkin' Back,Color Me Badd,"hum...ohh baby..aww baby yeah! goin' take back little thinkin' back remembering use time precious, cherish every moment spent. yeah! thinkin' back argument thinkin' back way back kissed made fair love gotta go back baby (maybe turn hand time) going back (going back mine) one (remembering time one, one love) love fun (ohh baby, baby) dig it... remembering first time showed love feeling strong heaven sent right play heart showed shame time time place place night night day day i'm still missing love feeling share sometimes cry night coz' feel alone need love right keep safe warm (maybe turn hand time) i'm going back (going back when, mine) one...we one girl ohh baby girl.... one.... baby save me, i'm thinkin, thinkin' back.... play mr. music man play play mr. music man ua...ohh..ohh.. i'm thinkin' back....",1244
Would I Lie to You?,Charles & Eddie,"would lie you? (oh yeah) would lie honey? (oh, no, no) would say something true? i'm asking sugar, would lie you? friend know what's store anymore i've packed bag i've cleaned floor watch walking walking door (believe me) i'll make it, make (believe me) i'll make it, make would lie you? would lie honey? (oh honey, would lie you?) would say something true? i'm asking sugar, would lie you? tell straight, intervention face, deception biggest fake much true take i'm leaving (believe me) i'll make it, make (oh yes, will) (believe me) i'll make it, make (make it, make it) would lie you? would lie honey? would say something true? i'm asking sugar, would lie? would lie you? would lie honey? would say something true? i'm asking sugar would lie you? friend know what's store anymore i've packed bag i've cleaned floor watch walking walking door (believe me) watch me, watch (believe me) watch me, watch me, yes will, yeah would lie you?",1272
That's What Love Is For,Amy Grant,"sometimes make harder we'll take perfect night fill word mean dark side best unseen wonder we're feeling way sometimes wonder really feel unkind questioning strongest heart that's must start believing one thing gotten u far that's love help u that's love nothing else melt defense bring u back sens give u strength try baby, that's love sometimes see know i'm washed away emotion hold deep inside getting stronger time living fire holding find that's love help u that's love nothing else melt defense bring u back sens give u strength try baby, that's love believing one thing gotten u far that's love help u that's love nothing else round edge talk u ledge give u strength try baby, that's love that's love that's love melt defense bring u back sens give u strength try baby, that's love that's love that's love that's love",1442
Keep Coming Back,Richard Marx,"know hurt take pain away girl, must devil disguise times, think knew afraid there's kind madness eye know place buried deep heart nobody else see something taken kind hold chorus know keep coming back you, baby know keep coming back baby say lover say can't friend talking make want got way confusing heart nobody else could try, want get repeat chorus i'm love, love game play love, nothing keep away got way confusing heart nobody else could try, want get know keep coming back tell keep coming back",964
Free Your Mind,En Vogue,"prejudice, wrote song like hear it? go free mind wear tight clothing, high heeled shoe mean i'm prostitute, like rap music, wear hip hop clothes mean i'm sellin' dope, oh forgive straight hair, mean there's another blood heir, yeah yeah might date another race color mean like strong black brother mmm-dah, mmm-dah, mmm-dah, mmm-dah oh must way? mmm-dah, mmm-dah, mmm-dah, mmm-dah read gotta learn see me, said free mind rest follow color blind, shallow free mind rest follow color blind, shallow i'm sista, buy thing cash really mean credit's bad, oh dispute waste time? really think price high can't look without watched, oh rang buy made mind, ow! oh attitude, even bother? can't change mind, can't change color mmm-dah, mmm-dah, mmm-dah, mmm-dah oh must way? mmm-dah, mmm-dah, mmm-dah, mmm-dah read gotta learn see me, said free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind mmm-dah, mmm-dah, mmm-dah, mmm-dah oh must way? read gotta learn see me, said free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind rest follow color blind, shallow free mind!",2056
Keep It Comin',Keith Sweat,"kick one time keep comin', girl want turn kissing hugging baby, drive crazy never get enough lovin' feel good i'm know gotta love every day every night one i'm thinking (you've got love) everything like, oh yes (let's make love tonight) gotta bring body right here, babe keep comin', girl want turn kissing hugging baby, drive crazy never get enough lovin' ooh ooh baby kissing thrill take natural high can't explain way feel go deep inside (let hold tight) hold tight body night long, girl (give got) give got, babe ever smile, babe keep comin', girl want turn kissing hugging baby, drive crazy never get enough lovin' (let hair down, come lay next feel body, give love need) let pretty hair girl baby, right next keep comin', girl want turn kissing hugging baby, drive crazy never get enough lovin'",1288
Just Take My Heart,Mr. Big,"late night neither one u sleeping can't imagine living life gone wondering many question answer keep searching reason went wrong yesterday could use right goodbye... take heart go need anymore i'll always love you, hard hold take heart go take final step can't fool myself, know there's turning back face face endless conversation love gone left nothing talk i'd give everything could turn around goodbye... take heart go need anymore i'll always love you, hard hold take heart go",872
I Will Remember You,Amy Grant,"walking one day street far away see face crowd smile knowing made laugh hearing sweet echo past remember look eye near tell what's happening see want say goodbye love frozen time i'll champion mine remember, remember later fire ember later night's tender given time though hard remember, darlin' holding i'll still holding remember many year come gone yet memory strong one word never could learn goodbye true love frozen time i'll champion mine remember please remember remember remember remember remember",867
We Got a Love Thang,CeCe Peniston,"woo oh, yeah, ha look got, ha look got, hahaha got a— got love, got a— got love got a— got love, got a— got love got a— got love, got a— got love got a— love can't stand away without doubt best thing that's happened yeah, baby can't wait side know whenever around, smile gonna see ohh 'cause make feel good inside doubt, yeah, i'm satisfied know find better love i've got love girl dream of, hey, ayy-ayy, ayy-ayy got love thang (love thang) feel good (feels good me) thang (our thang) love (don't know that's love be? oh) got a— got love, got a— got love got a— love used lonely, yeah 'cause find someone could call no, suddenly stepped life lonely day gone gone, oh, know wrong right better lonely night know find better love i've got love girl dream of, hey, ayy-ayy, ayy-ayy got love thang (love thang) feel good (feels good me) thang (our thang) love (don't know that's love be?) woo oh, yeah, ha look got, hahaha hey, ayy-ayy, ayy-ayy got love thang hey, ayy-ayy, ayy-ayy hey-ayy-hey now, got love thang ayy-ayy-ayy, ayy-ayy-ayy ayy-ayy-ayy, ayy-ayy-ayy, ayy-ayy-ayy ayy-ayy-ayy, ayy-ayy-ayy, ayy-ayy-ayy, ayy-ayy-ayy ayy-ayy-ayy, ayy-ayy-ayy, ayy-ayy-ayy, love thang ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy ayy, ayy, ayy, ayy, ayy, ayy, ayy, ayy got a— got love, got a— got love got a— love know find better love i've got love girl dream hey, hey, hey, hey (we got a, got love) got, got love got love, got love thang hey, hey, hey, hey (we got a, got love) got, got love got love, got love thang hey, hey, hey, hey hey, hey, hey, hey woo, look got got a— got love, got a— got love got a— got love, got a— got love got a— got love, got a— got love got a— love",2490
Let's Get Rocked,Def Leppard,"wanna get rocked? let's get, let's get, let's get, let's get rocked i'm average ordinary everyday kid happy nothing, fact that's got million way make day daddy agree try get away, says, got plan ""get butt right bed"" stop bugging ""get move sleepy head"" shake tree said, ""mow lawn"", me? ""walk dog"", style, man ""take trash"", way ""tidy room"", come on, get real sorry dad, got disappear let's get rock seven day weekend, night deep end, hang tight take minute, take long get it, come on, come on, come let's get, let's get, let's get, let's get rocked let's get, let's get, let's get, let's get rocked let's go way, get night day come on, let's get, let's get, let's get, let's get rocked i'm average ordinary everyday dude driving baby get mood dialing radio i'm ready make move got ain't rock 'n' roll really blew groove chopin, mozart, beethoven make want scream bach, tchaikovsky, violin turn off, ain't scene well, i'm sorry, girl, here's confession suppose rock's question seven day weekend, night deep end, hang tight take minute, take long get it, come on, come on, come let's get, let's get, let's get, let's get rocked let's get, let's get, let's get, let's get rocked let's go way, get night day come on, let's get, let's get, let's get, let's get rocked hey, want take ride blue every time want love you, get stuck inside room heaven know i'm sick tired dancing broom feel lucky today hey, look that, man want get rocked? want get rocked? ho, take minute take long get on, get oh, come everybody let's get, let's get, let's get, let's get rocked get top baby let's get, let's get, let's get, let's get rocked wanna, wanna? let's get, let's get, let's get, let's get rocked get top let's get, let's get, let's get, let's get rocked love rock body baby let's get, let's get, let's get, let's get rocked let's go way, get night day let's get play, rock night away come on, let's get, let's get, let's get, let's get rocked want get rocked?",2577
They Want EFX,Das EFX,"bum stiggedy bum stiggedy bum, hon, got old pa-rum-pum-pum-pum fe-fi fo, diddly-bum, come peter piper, i'm hyper pinocchio's nose 'cause i'm supercalafragilistic tic-tac pro gave oopsy, daisy, got crazy drazy books, googley-goo where's gravy one two, um, buckle my, um shoe yabba doo, hippity-hoo, crack brew trick treat, smell feet, yup drippedy-dropped hit book get mark spark old censorship drats double drats, smiggedy-smacked whiz kid boogedy-woogedly brooklyn boy's get his, dig waist bone's connected hip bone hip bone's connected thigh bone thigh bone's connected knee bone knee bone's connected hardy-har-har-har jibbedy-jabber jaw ja-jabbing funny bone, um skip ovaltine, i'd rather honeycomb preferably sinsemilla, let's spiggedy-spark blunts, um dun dun dun dun dun, dun dun want efx, live efx want efx, live efx want efx, live efx snap neck live efx well i'll darned, shiver timber yo, head hills! picked weeping willow, daffodil back bucko i'll pulverize mcgruff 'cause, little piggy gets, busy stuff arrivederci, heaven mercy, honky tonk get swift caught snuffleupagus smoked boogaloo spliff got nooks, crannies, nitty gritty 40 doe aboard, castaway, hey where's boogaloo? oh-h-h-h-h-h-hhh i'm steamin, a-go-ny! why's everybody always pickin me? call puddin' tane, rap's game ask i'll t-tell since i'm vocal vegemintarian, stick 'em freeze park sausages, mom, please a-blitz shoot breeze, twiddly-dee shoot lip crazy drayzie shot sheriff yup, shot gift that's pret-ty snea-ky sis, oh yo got sock off, rock off, nestle's cup cocoa holly hobbie tried slob me, tried rob silly stunt diggedy-dun dun dun dun dun, dun dun! want efx, live efx want efx, live efx want efx, live efx snap neck live efx want efx, live efx want efx, live efx want efx, live efx snap neck live efx yahoo, hidee-ho yup i'm coming around stretch fido boy, fetch, boy, fetch got rope-a-dope slippery choker, look get raw i'm hickory-dickory top morning boogoloo big jaw yippedy zippedy winnie pooh bad boy blue yo crazy got gusto, up, swing nincompoop give hoot stomp troop without strain like rosco p. coltrane spiggedy-spark spiff give twist like chubby checker take froot loop two scoops, make double decker oh finster baby come papa duke babaloo, ooh, babaloo boogedy boo went gucci stussy, fliggedy-flam groupie zsa zsa, yibbedy-yabba dabba hoochie koochie tally ho i-i'll take stove top instead potato, maybe i'll shoot 'em now, nope maybe i'll shoot 'em later, yep used dog bingo name oh, uh b-i-n-g-o-oh hokey pokey turn around, hon, uh dun dun dun dun dun, dun dun want efx, live efx want efx, live efx want efx, live efx snap neck live efx want efx, live efx want efx, live efx want efx, live efx snap neck live efx",3525
I Can't Make You Love Me,Bonnie Raitt,"turn lights, turn bed turn voice inside head lay me, tell lie hold close, patronize patronize 'cause can't make love can't make heart feel somethin' dark, final hour lay heart i'll feel power won't, 'cause can't make love me, i'll close eyes, see love feel holdin' mornin' come, i'll what's right give 'til give fight give fight 'cause can't make love can't make heart feel somethin' dark, final hour lay heart i'll feel power won't, 'cause can't make love me, try baby ain't use tryin', baby",936
Whoomp! (There It Is),Tag Team,"party-people! yeah, tag team music full effect! that's - dc brain supreme, man steve roll'n! we're kickin' flow! (we're kickin' flow!) go little something like this! tag team, back check wreck it, let's begin party on, party people, let hear noise dc's house, jump, jump, rejoice say there's party here, party wave hand air, shake derriere three word mean gettin' busy whoomp, is! hit me! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! upside inside i'm 'bout show folk time nigga get mic make motherfuckin' party hype i'm takin' back old school 'cause i'm old fool who's cool wanna get down, i'mma show way whoomp, is! let hear say whoomp, is! (come on, y'all) whoomp, is! (a little louder) whoomp, is! (come on, y'all) whoomp, is! (louder) whoomp, is! (come on, y'all) whoomp, is! (a little louder) whoomp, is! (come on, y'all) whoomp, is! whoomp! shaka-laka-shaka-laka shaka-laka shaka whoomp! shaka-laka-shaka-laka shaka-laka shaka whoomp! shaka-laka-shaka-laka shaka-laka shaka whoomp! shaka-laka-shaka-laka shaka-laka shaka point blank, gin juice drink invent puff dank rock mic, uh oh, crave skin rip shit, find honey dip dip slam dunk it, stick it, flip ride b-double-o-t-y, oh ooh, that's it, come on, come whoomp, is! i'm done whoomp, is! (come on) whoomp, is! (louder) whoomp, is! (give me) whoomp, is! (come on, come on) whoomp, is! (little louder) whoomp, is! (yeah!) whoomp, is! (come on, come on) whoomp, is! (yeah!) hey! baby! whoomp, is! hey! baby! whoomp, is! say i'm crazy 'cause i'm pushing dais underground sound nigga found amazing, outstanding, demanding commanding, people dancing (whoo) shit! that's breathtaker producer aka undertaker wanna come underground old school? here's shovel, dig it, fool? dig it? dig it! y'all dig it? dig it! dig it? dig it! y'all dig it? dig it! dig it? dig it! y'all dig it? dig it! dig it? dig it! y'all dig it? dig it! w-h-double o-m-p flow fly shit school old hard core, keep' folklore wrecked 3 2 1, mic check mad skill, flow ill, mess steel that's grille microphone killed party people, there's party, tag team whoomp, is, thought knew whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! whoomp, is! yeah! tag team music comin' straight 'cha! that's - dc brain supreme, man steve roll'n! bring back y'all, bring back y'all, bring back, go! whoomp, is! whoomp, is! whoomp, is! whoomp, is! hahaha heard new song tag team? what's that? go girl, singing even know haha, song lady well, whole album dope real? damn really though",3631
Can't Help Falling in Love,UB40,"wise men say fool rush can't help falling love wise men say fool rush can't help falling love shall stay? would sin? can't help falling love river flow gently sea darling, go thing meant take hand take whole life, can't help falling love river flow surely sea darling, go thing meant take hand take whole life, can't help falling love can't help falling love can't help falling love can't help falling love",661
That's the Way Love Goes,Janet Jackson,"like moth flame, burned fire love blind, can't see desire? that's way love go that's way love that's way love that's way love go like moth flame, burned fire (that's way) love blind, can't see desire? (that's way) like moth flame, burned fire (that's way) love blind, can't see desire? that's way love go like moth flame, burned fire that's way, that's way that's way love go that's way love go love blind, can't see desire? that's way, that's way that's way love go come me, worry i'm gonna make crazy i'll give time life i'm gonna take place never happy came ooh, i'm gonna take there, ooh that's way love go that's way love go (that's way love goes) that's way love go (desire, that's way) that's way love go (desire, that's way, that's way love goes) mind light candles, like watch u play baby, i've got like come closer, baby, closer, reach feel body i'm gonna give love (that's way love goes) oh, sugar hurry, got night close eye hold tight (that's way, that's way) ooh, baby, stop, stop, go deeper, baby, deeper feel good i'm gonna cry oh, i'm gonna take there, ooh that's way love go that's way love go (that's way love goes) that's way love go that's way love go (that's way love goes) that's way love go that's way love go (don't know? oh, that's way) like moth flame, burned fire love blind, can't see desire? like moth flame, burned fire love blind, can't see desire? that's way, that's way (ooh) that's way, that's way (that's way love goes) that's way, that's way that's way love go (that's way love goes) that's way, that's way that's way, that's way (that's way love goes, goes, goes) that's way, that's way that's way love go that's way love go that's way love go (that's way love goes) that's way love go (that's way love goes) that's way love, that's way love that's way love, that's way love that's way love, that's way love that's way love go",2556
Freak Me,Silk,"freak me, baby (ah, yeah) freak me, baby (mm, like that) freak me, baby (ah, yeah) freak me, baby (ah, yeah) let lick 'til say stop let play body, baby, make real hot let thing want 'cause tonight, baby, wanna get freaky baby, understand? wanna nasty man wanna make body scream know mean (you know mean) 24 carat gold want night grow old wanna lick (baby, yeah, baby, yeah) wanna lay down, come on, silk, sing let lick 'til say stop (lick down) let play body, baby, make real hot (let make real hot) let thing want 'cause tonight, baby, wanna get freaky love taste whipped cream (hey) spread on, mean (baby, mean) know can't resist you, girl i'll fly around world (all around world, oh, baby) wanna see body drip come on, let take sip (come on, come on, come on, come on) take cherish (come on) 'cause brag like brag boast (come on, come on, come on, baby) let lick 'til say stop (lick down, oh, baby) let play body, baby, make real hot (i wanna play body, baby) (i wanna play body, girl) let thing want (aw, yeah) 'cause tonight, baby, wanna get freaky you, you, you, (oh, you) you, you, you, (let freak you) you, you, you, (all you) yeah, come on, come you, you, you, (oh, you) you, you, you, (let you) 'cause tonight, baby, wanna get freaky let lick 'til say stop (freak me, baby) let play body, baby, make real hot (freak me, baby) let thing want (freak me, baby) 'cause tonight, baby, wanna get freaky let lick 'til say stop (baby, stop) (baby, stop) let play body, baby, make real hot (baby, stop) let thing want (baby, stop, baby, stop) 'cause tonight, baby, wanna get freaky, freaky let lick 'til say stop (up down) let play body, baby, make real hot (up down) (let make soakin' wet, baby) let thing want (i play around love, baby) 'cause tonight, baby, wanna get freaky",2614
Weak,SWV,"know done caused act crazy way whatever feeling want stay 'cause heart start beating triple time thought loving mind can't figure cause cure get weak knees, hardly speak (i lose) lose control something take (control, take me) daze amazing (amaze) phase (it's not), want stay (stay me) side, swallow pride (my pride) love sweet knock right foot can't explain lovin' make weak time time, time try fight love strong, keep holding resistance around, cry fading condition, want alone 'cause heart start beating triple time thought loving mind can't figure cause cure you, ohh get weak knees, hardly speak (i lose) lose control something take (control, take me) daze amazing (amaze) phase (it's not), want stay (stay me) side, swallow pride (my pride) love sweet knock right foot can't explain lovin' make weak try hard fight way deny love's sweet knock foot get weak knees, hardly speak (i lose) lose control something take (control, take me) daze amazing (amaze) phase (it's not), want stay (stay me) side, swallow pride (my pride) love sweet knock right foot can't explain lovin' make weak (i get weak) blood start racing vein (i get weak) boy, something can't explain (i get weak) something 'bout way thing do, (knocks right feet) ohh, feet, can't explain lovin' make weak get weak knees, hardly speak (i lose) lose control something take (control, take me) daze amazing (amazing) phase (it's not), want stay (i want stay) side, swallow pride (my pride) love sweet knock right foot (ohh, i) can't explain lovin' make weak",2573
If I Ever Fall in Love,Shai,"first time saw brown eye lip said ""hello"" said ""hi"" knew right one caught physical attraction satisfaction baby, face ever (ever fall) love (again) sure lady friend ever (ever fall) love true (so true) sure lady's like oh, yeah yeah, y-y-y-yeah next time she'll friend say could one (promise, promise, promise) promise never leave lonely wanna one need oh baby wanna one serve sometimes, feel deserve cherish every moment share ever (ever fall) love (again) sure lady friend ever fall (ever fall) love true (so true) sure lady's like friend next time friend someone believe need someone who'll friend friend next time friend thick thin friend next time friend someone believe please share love me, friend friend next time friend need someone like ever (ever fall) love (again) sure lady friend ever fall (ever fall) love true (so true) sure lady's like",1532
Dreamlover,Mariah Carey,"need lover give kind love last always need somebody uplifting take away, baby want lover know understands feel inside someone comfort hold long lonely night 'till dawn take away? dreamlover, come rescue take up, take take anywhere want to, baby, need desperately please come around? 'cause wanna share forever you, baby want another pretender disillusion one time whispering word forever playing mind (no no, no, baby) need someone hold kind love fly away want someone belong every day life always come take away dreamlover, come rescue take up, take take anywhere want to, baby, need desperately please come around? 'cause wanna share forever you, baby (with you) (baby, come take away) dreamlover, come rescue take up, take (take down) take anywhere want to, baby, need desperately (i need you, baby) please come around? (won't please?) 'cause wanna share forever you, baby need so, need take come on, baby you, baby",1315
Rump Shaker,Wreckx-n-Effect,"yeah wanna zoom-a-zoom-zoom-zoom (yeah) pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) check baby, check baby, one, two, three, four check baby, check baby, one, two, three check baby, check baby, one, two check baby, check baby, one called rump shaker, beat like sweeter candy i'm feelin' manly shaker's comin' handy slide cloth new york virginia ticklin' around delaware enter turn seduction face, hip foot wiggle jiggle make night complete since got body year, come get award here's hint, like long sharp sword flip tail, let see shake like dice way shake rump turnin' mighty men mouse plus got surprise that's back breaker let see shake rump like rump shaker wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker, yiggidy-yes, it's—) check baby, check baby, one, two, three, four (yiggidy-yes, yeah) check baby, check baby, one, two, three (yup, yup, it's—) check baby, check baby, one, two (yup, yup, it's—) check baby, check baby, one yup, yup, teddy, ready one-two checker wreckx-n-effect effects, i'm wrecker track 'bout honey shakin' rump back booty cuties steady shakin' relaxin' action packed jam like closet beat bound get up, cold flowin' like faucet mean make sit, mean make jump but, yep, make hotties party shake rump like way comb hair (uh) like stylish clothes wear (uh) little thing (uh) make wanna get (uh) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker, let's break down) shake it, shake it, shake it, shake spend every birthday butt-naked body soft, makin' wanna squish chest game, rumper like sub-woofer shake left (shake it), shake right mind stickin' every single night come on, pas pum pum, send papa shake baby, shake baby, shake it, stoppa let see booty hop (hop) make booty stop, drop booty wop (ooh) way shakin' real really kill makin' broth-ills whole lotta bill ain't trickin', treatin' ain't treatin' every trick i'm meetin' nah, nah, nah, nah, nah, nah, nah yeah, shake baby, shake now, shake like wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) check baby, check baby, one, two, three, four check baby, check baby, one, two, three (just shake rump) check baby, check baby, one, two check baby, check baby, one, one (just shake rump) check baby, check baby, one, two, three, four check baby, check baby, one, two, three (just shake rump) check baby, check baby, one, two check baby, check baby, one, one (just shake rump) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) check baby, check baby, one, two, three, four check baby, check baby, one, two, three (just shake rump) check baby, check baby, one, two check baby, check baby, one, one (just shake rump) check baby, check baby, one, two, three, four check baby, check baby, one, two, three (just shake rump) check baby, check baby, one, two check baby, check baby, one, one (just shake rump) wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump wanna zoom-a-zoom wanna zoom-a-zoom, shake rump wanna zoom-a-zoom-zoom-zoom pum pum, shake ya rump (rump shaker) break (uh, yeah) shake ya rump (uh, yeah) w-n-e (uh, yeah) effect (uh, yeah) peace (peace) come come come come come come come",5493
Informer,Snow,"what's up, man? ayo, what's up? yeah, what's going on, yo? i'm sick tired 5-0 running block know i'm saying? yo, snow, came around looking day (word?) word, bust it! informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom police-a them-a come and-a blow door break car troo, troo window dey put de back de car de station point on, reach destination destination reachin' outta east detention dey looked pants, look bottom, informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom so, bigger dem think dem power de pon di phone say dat one hour want use an' call lover lover callin an' one tamei an' mi love heart belly-a yes say daddy snow haffi cool an' deadly yes one mc an' one daddy snow together we-a love 'em tor-na-do informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom so, listen me, better listen listen me, better listen when-a rock-a microphone, rock steady-a yes daddy snow de article a-out dance say come from-a? people dem say ya come jamaica born an' raised ghetto want ya know-a pure black people man that’s man know yeah shoe a-tear an'a toe show-a me-a born de one toronto, informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom come nice young lady intelligent, yes, gentle irie everywhere go, never lef' all-ie yes-a daddy snow roam dance man-a roam between-a dancin' in-a in-a nation-a never know say daddy snow boom shakata never lay-a flat in-a one cardboard box-a yes-a daddy snow me-a go reachin' da top, informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom wo ee? wo ee? an' wo ee an' wo ee? sitting 'round cool dibbie-dibbie girl police knock door, lick pal rough can't thing pick line telephone ring take station black hand trail cause i'm hanging snowman i'm gonna do? i'm backed i'm trapped slap face took gap clue wanna get warmer turn informer informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom informer, ya' say daddy snow go blame lick boom-boom 'tective man say, say daddy snow stab someone lane lick boom-boom diggity dum, diggity diggity dum, an' wo ee, wo, wo ee",4228
In the Still of the Nite,Boyz II Men,"shoo doop shooby doo shoo doop shooby doo shoo doop shooby doo shoo doop shooby woah still (shoo doop shooby doo) night (shoo doop shooby doo) held (shoo doop shooby doo) held tight (shoo doop shooby woah) love (shoo doop shooby doo) love (shoo doop shooby doo) promise i'll never (shoo doop shooby doo) let go (shoo doop shooby woah) still night (ooh, still night) remember (i remember) night may (i remember) star bright (oh, remember) (i remember) hope (i remember) pray (i remember) keep (shoo wop) precious love (shoo wop) (shoo doop shooby doo) light (shoo doop shooby doo) hold (shoo doop shooby doo) might (shoo doop shooby wah) still night (ooh, still night) shoo wop, shoo wop shoo wop, shoo wop shoo wop, shoo wop shoo wop, shoo wop, oh shoo wop, shoo wop shoo wop, shoo wop shoo wop, shoo wop shoo wop, shoo wop, oh (shoo doop shooby doo) light (shoo doop shooby doo) hold (shoo doop shooby doo) might (shoo doop shooby wah) still night (ooh, still night) still night shoo doop shooby doo shoo doop shooby doo (yeah) shoo doop shooby doo (in still night) shoo doop shooby woah (in still night, yeah) shoo doop shooby doo (woah, woah, woah) shoo doop shooby doo (yeah, yeah, yeah, yeah) shoo doop shooby doo shoo doop shooby woah shoo doop shooby doo shoo doop shooby doo shoo doop shooby doo",1602
Don't Walk Away,Jade,"""hi! we're right leave name number we'll get back you, you, you"" *laughing* got love, waiting gotta know, love true can't keep running, boy, life wanna girl, 'cause mood right let come inside, tomorrow hide need someone hold? baby, misunderstand, want man need little time invest love walk away, boy (ooh, walk away) love hurt (no, no) walk away, boy i'll right say things, like hear push buttons, baby love close wanna feel love, wanna sure need, baby, every night let come inside, tomorrow hide need someone hold? baby, misunderstand, want man need little time invest love walk away, boy (don't walk away, boy) love hurt (no) walk away, boy (don't walk away) i'll right baby, misunderstand want man need little time give love (don't walk away, boy) walk away (i'll right you) walk away sound like make love (don't walk away, boy) (don't walk away, boy) (i'll right you) walk away walk away, boy (no) love hurt (won't hurt you) walk away, boy i'll right (i'll right there, oh yeah) walk away, boy (don't walk away) love hurt (no) walk away, boy i'll right",1747
