,songs,artists,lyrics,length
1406,Why Me,Kris Kristofferson,"lord? ever done deserve even one pleasure i've known? tell me, lord ever worth lovin' kindness shown? lord help me, jesus i've wasted help me, jesus know know i've needed help me, jesus soul's hand try me, lord think there's way try repay i've taken maybe, lord show someone else i've way back lord help me, jesus i've wasted help me, jesus know know i've needed help me, jesus soul's hand lord help me, jesus i've wasted help me, jesus know know i've needed help me, jesus soul's hand jesus soul's hand",831
1407,Crocodile Rock,Elton John,"remember rock young susie much fun holding hand skimming stone old gold chevy place biggest kick ever got thing called crocodile rock kid rocking 'round clock hopping bopping crocodile rock well, crocodile rocking something shocking foot can't keep still never knew better time, guess never oh, lawdy mama, friday night susie wore dress tight crocodile rocking sight laa, la-la-la-la-laa la-la-la-la-laa la-la-la-la-laa year went rock died susie went left u foreign guy long night cry record machine dreaming chevy old blue jean they'll never kill thrill we've got burning crocodile rock learning fast week went past really thought crocodile rock would last well, crocodile rocking something shocking foot can't keep still never knew better time, guess never oh, lawdy mama, friday night susie wore dress tight crocodile rocking sight laa, la-la-la-la-laa la-la-la-la-laa la-la-la-la-laa remember rock young susie much fun holding hand skimming stone old gold chevy place biggest kick ever got thing called crocodile rock kid rocking 'round clock hopping bopping crocodile rock well, crocodile rocking something shocking foot can't keep still never knew better time, guess never oh, lawdy mama, friday night susie wore dress tight crocodile rocking sight laa, la-la-la-la-laa la-la-la-la-laa la-la-la-la-laa laa, la-la-la-la-laa la-la-la-la-laa la-la-la-la-laa laa, la-la-la-la-laa la-la-la-la-laa la-la-la-la-laa",1996
1408,Will It Go Round in Circles,Billy Preston,"i've got song ain't got melody i'ma gonna sing friend i've got song ain't got melody i' gonna sing friend go round circle fly high like bird sky go round circle fly high like bird sky i've got story ain't got moral let bad guy win every i've got story ain't got moral let bad guy win every go round circle fly high like bird sky go round circle fly high like bird sky i've got dance ain't got steps, i'm gonna let music move around i've got dance ain't got step i'm gonna let music move around go round circle fly high like bird sky go round circle fly high like bird sky go round circle fly high like bird sky go round circle fly high like bird sky i've got song ain't got melody i'ma gonna sing friend i've got song ain't got melody i' gonna sing friend go round circle fly high like bird sky go round circle fly high like bird sky",1318
1410,Touch Me in the Morning,Diana Ross,"touch mornin' walk away tomorrow yesterday hey, said nothin' good's gonna last forever? said let's glad time together? must've hard tell given give understand feelin' way everybody's got life live well, say goodbye cold mornin' light can't watch love die warmth night i've got strong know need tonight, gone? 'til go, need lie think last time touch mornin' close door leave found empty like hey, yesterday used laugh wind behind us? run away hope time try find us? (didn't run?) take place one's ever been? yeah, really need near tonight 'cause never take let watch go sun eye we've seen love grow we'll see dy i've got strong know need tonight, gone? 'til go, need hold time hand reach touch mornin' (in mornin') we're blue gold could feel one another livin' (then walk away) walked dream hold could take world givin' (we tomorrow) there's tomorrow there's love time chase (but yesterday) yesterday's gone, love there's time face (touch mornin')",1672
1411,The Night the Lights Went Out in Georgia,Vicki Lawrence,"way home candletop two week gone he'd thought he'd stop webb's drink went home andy wolloe said hello said, ""hi, what's doing, wo?"" said, ""sit down, got bad news, gonna hurt."" said, ""i'm best friend know that's right young bride ain't home tonight since gone, seeing amos boy, seth."" well, got mad saw red andy said, ""boy, lose head cause tell truth, i've myself."" that's night light went georgia that's night hung innocent man well, trust soul backwoods southern lawyer cause judge town's got bloodstain hand well, andy got scared left bar walking home, cause live far see, andy many friend lost one brother thought wife musta left town went home finally found thing papa left gun went andy's house slippin' backwoods, quiet mouse came upon track small andy make looked screen back porch door saw andy lying floor puddle blood started shake well, georgia patrol making round fired shot flag big-bellied sheriff grabbed gun said ""why'd it?"" well, judge said guilty make-believe trial slapped sheriff back smile said, ""supper's waitin' home gotta get it."" that's night light went georgia that's night hung innocent man well, trust soul backwoods southern lawyer cause judge town's got bloodstain hand well, hung brother could say track saw way andy's house back night mine cheating wife never left town that's one body never found see, little sister miss aim gun that's night light went georgia, whoa-oh that's night hung innocent man, uh-huh well, trust soul backwoods, southern lawyer cause judge town's got bloodstain hand oh, that's night light went georgia",2395
1412,Playground in My Mind,Clint Holmes,old world getting there's love found close eye soon find i'm playground mind child laugh child play sing song day name michael i've got nickel i've got nickel shiny new i'm gonna buy kind candy that's i'm gonna wonder find playground mind world used close eye follow child laugh child play we'll sing song day girl cindy get married we're gonna baby two we're gonna let visit grandma that's gonna see little child living world left behind happy little child playground mind see little child see play happy playground mind la la la la la la la la la...,884
1413,Brother Louie,Stories,"black night; louie whiter white danger, danger taste brown sugar louie fell love overnight nothing bad, good louie best girl could took home meet mama papa; louie knew stood louie louie louie louie, louie louie louie lou louie louie louie louie, louie louie gonna cry stood night knowing what's wrong what's right took home meet mama papa man, terrible fight louie nearly caused scene wishin' dream ain't diff'rence black white brothers, know mean, come louie louie louie louie louie louie louie, louie louie louie lou louie louie louie louie, louie louie gonna cry {instrumental} louie louie louie louie, louie louie louie lou louie louie louie louie, louie louie gonna cry",883
1414,Delta Dawn,Helen Reddy,"delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky? forty-one daddy still call baby folk 'round brownsville say crazy 'cause walk downtown suitcase hand lookin' mysterious dark-haired man younger days, called delta dawn prettiest woman ever laid eye man low degree stood side promised he'd take bride delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky? delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky? delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky? delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky? delta dawn, what's flower could faded rose day gone by? hear say a-meeting today take mansion sky?",1458
1415,Me and Mrs. Jones,Billy Paul,"mr jones got thing going know wrong much strong let go meet every day cafe — 6:30 know, know she'll holding hands, making kind plan jukebox play favorite song mrs, mrs. jones mrs. jones, mrs. jones, mrs. jones got thing going know wrong much strong let go gotta extra careful build hope high cause got obligation so, mrs, mrs. jones mrs. jones, mrs. jones, mrs. jones got thing going know wrong much strong let go well, time u leaving hurt much, hurt much inside she'll go way i'll go mine tomorrow we'll meet place time mrs, mrs. jones mrs. jones, mrs. jones, mrs. jones got thing going gotta extra careful can't afford build hope high wanna meet talk place, cafe, time we're gonna hold hand like used gonna talk over, talk know, know know know wrong i'm thinking strong gotta let 'em know got thing going on, thing going",1341
1417,Drift Away,Dobie Gray,"day day i'm confused yet look light pouring rain know that's game hate lose i'm feelin' strain ain't shame oh, give beat boy free soul wanna get lost rock roll drift away give beat boy free soul wanna get lost rock roll drift away beginning think i'm wastin' time understand thing world outside look unkind i'm countin' carry oh, give beat boy free soul wanna get lost rock roll drift away give beat boy free soul wanna get lost rock roll drift away mind free know melody move i'm feelin' blue guitar's comin' soothe thanks joy given want know believe song rhythm rhyme harmony helped along makin' strong oh, give beat boy free soul wanna get lost rock roll drift away give beat boy free soul wanna get lost rock roll drift away oh, give beat boy free soul wanna get lost rock roll drift away give beat boy free soul wanna get lost rock roll drift away na na na, you, take oh, take",1416
1418,Little Willy,Sweet,"{intro} north side, east side little willy, willy wear crown he's king around town dancing, glancing willy drive silly star shoe shimmy shuffle way past one, feeling alright cause little willy round last night hey down, stay down, stay cause little willy, willy go home can't push willy round willy go, try tellin' everybody but, oh little willy, willy go home {hook} town, town little willy, willy drive wild run-around style inside, outside, willy sends silly star-shine shimmy shuffle smile mama done chase willy hall laugh, willy laugh care hey down, stay down, stay down, cause little willy, willy go home can't push willy round willy go, try tellin' everybody but, oh little willy, willy go home {hook} little willy, willy willy won't, willy little willy, willy willy won't, willy little willy, willy willy won't, willy little willy, willy willy won't, willy little willy, willy go home can't push willy round willy go try tellin' everybody but, oh little willy, willy go home little willy, willy go home can't push willy round willy go, try tellin' everybody but, oh little willy, willy go home",1405
1419,You Are the Sunshine of My Life,Stevie Wonder,"sunshine life that's i'll always around apple eye forever, stay heart feel like beginning though i've loved million year thought love ending i'd find drowning tears, woah sunshine life, yeah that's i'll always stay around, mmm-mmm, yeah-yeah apple eye forever, stay heart must known lonely came rescue, ooh know must heaven could much love inside you, woah? sunshine life, yeah that's i'll always stay around, mmm (baby) apple eye forever, stay heart, yeah sunshine life, oh, yeah",792
1420,Half-Breed,Cher,"father married pure cherokee mother's people ashamed indian said white law white man always called ""indian squaw"" half-breed, that's ever heard half-breed, learned hate word half-breed, 'she's good,' warned side since day born never settled, went town town welcome hang around child always laughed ""give feather, cherokee"" half-breed, that's ever heard half-breed, learned hate word half-breed, 'she's good,' warned side since day born accepted felt ashamed nineteen, left them, tell who's blame? life since man man can't run away half-breed, that's ever heard half-breed, learned hate word half-breed, 'she's good,' warned side since day born half-breed, that's ever heard half-breed, learned hate word half-breed, 'she's good,' warned side since day born",1184
1421,That Lady,The Isley Brothers,"who's lady? (who's lady?) beautiful lady (who's lady?) who's lady? (who's lady?) real, real, real fine lady (a beautiful lady) wish somebody would introduce get chance (i get chance) ask dance (to ask dance) love first sight (love first sight) saw tonight (saw tonight) wish somebody would introduce like way danced dark disappeared night and, oh, stole heart love first sight who's lady? (who's lady?) beautiful lady (the beautiful lady) who's lady? (who's lady?) gotta meet lady (who's lady?) wish somebody would introduce woah, who's lady? (who's lady?) real fine lady (the beautiful lady) who's lady? (i'm talkin' 'bout lady) beautiful lady (the beautiful lady) wish somebody would introduce me, yeah, yeah, yeah (who's lady?) (who's lady?) (the beautiful lady) (i'm talkin' 'bout lady) said, hey, lady i'm love you, yeah, yeah",1119
1422,Pillow Talk,Sylvia Robinson,"ay ... ay ... ay ... yi! hey, baby, let stay care friend 'bout say, ah-ah friend say fine can't compete pillow talk mine ooh, can't find love one-way street take two tango, take two even compete, oh, yeah boy, put stop sign let's get together day run u i'm pleading hey, baby, let try one who's gonna light fire, ha-ha friend say fine can't compete pillow talk mine ooh, wanna see fool i'm teachin' tonight, boy, never learn school, oh, friend tell wrong right i'll ask borrow man cold lonely night ooh, hey, baby, let one turn z, ha-ha friend say fine can't compete pillow talk mine ooh, baby ooh, baby, la-la-la, la-la-la-la ... ah ... would you, baby? would you, baby? la-la-la, la-la-la-la ay, ay, ay, ay, ay-ay-ay-ay uno momento poquito uno momento poquito! ay-ay-ay-ay nice, daddy ... nice, daddy ... nice, daddy ay-ay-ay-ay oh, god!",1189
1423,We're an American Band,Grand Funk Railroad,"{intro} road forty day last night little rock put haze sweet, sweet connie act whole show that's natural fact night freddy king got tell poker's thing a-booze 'n lady keep right long make show tonight we're american band we're american band we're coming town, we'll help party we're american band {hook} four young chiquitas omaha awaitin' band return show i'm feelin' good, feelin' right, saturday night hotel detective -- out-a-sight now, fine ladies, plan meet boy band said, ""come on, dudes, let's get on,"" proceeded tear hotel we're american band we're american band we're coming town, we'll help party we're american band, hey! we're american band we're american band we're coming town, we'll help party we're american band, ah, ah, ah down! {bridge} we're american band we're american band we're coming town, we'll help party we're american band, ah, ah, ah, ah! we're american band we're american band we're coming town, we'll help party we're american band we're american band, ooo-ooo we're american band, ooo-ooo we're american band, ooo-ooo",1430
1424,Right Place Wrong Time,Dr. John,"{intro} right place, must wrong time i'd said right thing, must used wrong line right trip, must used wrong car head bad place i'm wondering good right place, must wrong time head bad place, i'm good time running trying get hung mind (oooh) got give good talking-to time need little brain salad surgery (oooh) got cure insecurity wrong place, must right time right place, must wrong song right vein, seems like wrong arm right world, seems wrong wrong wrong wrong wrong {bridge} slipping, dodging, sneaking, creeping, hiding street (oooh) see life shaking every ho' meet refried confusion making clear (oooh) wonder way go get right place, must wrong time i'd said right thing, must used wrong line i'd took right road, must took wrong turn would've made right move, made wrong time right road but, must used wrong car head good place wonder bad",1412
1425,Wildflower,Skylark,"faced hardest time could imagine many time eye fought back tear youthful world fall time slender shoulder bore weight fear sorrow one hears still ring midnight silence ear let cry lady let dream child let rain fall upon free gentle flower growing wild chance hold chance hold let hold time! let hold time! but, allowed one possession would pick garden would pick garden mine mine careful touch she'll awaken sleep's freedom know walk eye believe way always paying debt never owes silent wind still blow hear go let cry lady let dream child let rain fall upon free gentle flower growing wild let cry lady let dream child let rain fall upon free gentle flower growing wild flower growing wild free growing wild",1255
1427,Loves Me Like a Rock,Paul Simon,"little boy (when boy) devil would call name i’d say, “now think you’re fooling?” i’m consecrated boy singer sunday choir oh, mama love me, love get knee hug oh, love like rock rock like rock age love love me, love me, love me, love grown man devil would call name i’d say “now think you’re fooling?” i’m consummated man snatch little purity mama love me, love get knee hug oh, love like rock rock like rock age love love me, love me, love me, love president minute congress called name i’d say “now think you’re fooling?” i’ve got presidential seal i’m presidential podium mama love me, love get knee hug boy love like rock rock like rock age love love me, love me, love me, love me, love like rock love love like rock love me, love me, love love like rock, oh baby... love me, love me, love me, love me...",1244
1428,The Morning After,Maureen McGovern,"""mad love,"" cretones ""mamma mia,"" abba ""man wilderness,"" styx ""man fire,"" bee gee ""man moon,"" rem ""many river cross,"" jimmy cliff ""me hungry,"" 4 live crew ""the mephisto waltz,"" franz liszt ""message bottle,"" police ""the mighty quinn,"" manfred mann ""milk,"" garbage ""millennium,"" robbie williams ""miracle mile,"" icehouse ""misery,"" beatles ""the morning after,"" maureen mcgovern ""morning glory,"" tim buckley ""the mountain,"" icehouse ""mr. jones,"" counting crow ""mute witness,"" morrissey ""my best friend's girl,"" car ""my blue heaven,"" fat domino ""my darling clementine,"" babyshambles ""my girl,"" temptation ""my life,"" billy joel",697
1429,Rocky Mountain High,John Denver,"born summer 27th year comin' home place he'd never left yesterday behind him, might say born might say found key every door first came mountains, life far away road hangin' song string's already broken really care keep changin' fast last long colorado rocky mountain high i've seen rainin' fire sky shadow starlight softer lullaby rocky mountain high (colorado) rocky mountain high (high colorado) climbed cathedral mountains, saw silver cloud saw everything far see say got crazy once, tried touch sun lost friend, kept memory walk quiet solitude, forest stream seeking grace every step take sight turned inside try understand serenity clear blue mountain lake colorado rocky mountain high i've seen rainin' fire sky talk god listen casual reply rocky mountain high (high colorado) rocky mountain high (high colorado) life full wonder, heart still know fear simple thing cannot comprehend try tear mountain bring couple people, scar upon land colorado rocky mountain high i've seen rainin' fire sky though he'd poorer man never saw eagle fly rocky mountain high colorado rocky mountain high i've seen rainin' fire sky friend around campfire everybody's high rocky mountain high (high colorado) rocky mountain high (high colorado) rocky mountain high (high colorado) rocky mountain high (high colorado) rocky mountain high (high colorado) rocky mountain high (high colorado)",1915
1430,Stuck in the Middle with You,Stealers Wheel,"well, know came tonight got feeling something ain't right i'm scared case fall chair i'm wondering i'll get stair clown left joker right stuck middle yes, i'm stuck middle i'm wondering hard keep smile face losing control, yeah, i'm place clown left joker right stuck middle well, started nothing proud self-made man friends, come crawling slap back say please please trying make sense see make sense cool go sleep floor? 'cause think take anymore clown left joker right stuck middle started nothing proud self-made man friends, come crawling slap back say please please yeah know came tonight got feeling something ain't right i'm scared case fall chair i'm wondering i'll get stair clown left joker right stuck middle yes, i'm stuck middle stuck middle stuck middle",1459
1431,Shambala,Three Dog Night,"wash away troubles, wash away pain rain shambala wash away sorrow, wash away shame rain shambala ah-ooh-ooh-ooh, ooh-ooh, yeah yeah, yeah, yeah, yeah, yeah ah-ooh-ooh-ooh, ooh-ooh, yeah yeah, yeah, yeah, yeah, yeah everyone helpful, everyone kind road shambala everyone lucky, everyone kind road shambala ah-ooh-ooh-ooh, ooh-ooh, yeah yea, yeah, yeah, yeah, yeah ah-ooh-ooh-ooh, ooh-ooh, yeah yeah, yeah, yeah yeah, yeah light shine hall shambala? light shine hall shambala? tell sister flower eye road shambala tell brother flower eye road shambala ah-ooh-ooh-ooh, ooh-ooh, yeah yeah, yeah, yeah yeah, yeah ah-ooh-ooh-ooh, ooh-ooh-ooh, yeah yeah, yeah, yeah yeah, yeah light shine hall shambala? light shine hall shambala? tell light shine hall shambala? (tell how) light shine hall shambala? ah-ooh-ooh-ooh, ooh-ooh, yeah yeah, yeah, yeah yeah, yeah ah-ooh-ooh-ooh, ooh-ooh-ooh, yeah road shambala ah-ooh-ooh-ooh, ooh-ooh, yeah shambala-la ah-ooh-ooh-ooh, ooh-ooh-ooh, yeah road shambala",1314
1433,I'm Gonna Love You Just a Little More Baby,Barry White,"feel good lying next oh, groove idea feel hand keep still love you, baby oh, love you, love you, love wanna hold run finger hair ooh outta sight uh-huh, right there, like like closer come here, closer, close oh, baby oh, baby give ain't use can't help i'd wanted i'm hung doubt i'm love there's way out, 'cause deeper deeper love i'm falling sweeter sweeter tender word love keep calling eager eager, yeah feel lip upon face please please time place i'm gonna love you, love you, love little more, baby i'm gonna need you, need you, need every day, yeah i'm gonna want you, want you, want every way, yeah make mistake i'll hold back knowin' time look like love stay long shall live i'll give give, 'cause please please time place eager eager feel sweet lip face deeper deeper love i'm falling, yeah sweeter sweeter tender word love keep calling i'm gonna love you, love you, love little more, baby i'm gonna need you, need you, need every day i'm gonna want you, want you, want every way, yeah oh, stop babe 'cause swear god understand can't, can't believe i'm i'm really like, like sometimes baby somethin', somethin' groove, hard believe really doin' hear i'm sayin'? baby, stop swear, stop hey hey hey hey, yeah ohhh baby, that's outta sight uhh huh huh ohh baby, ohh baby that's i'm saying oh love you, love you, love i'm gonna love you, love you, love little more, baby i'm gonna need you, need you, need every day i'm gonna want you, want you, want every way, yeah stick stick oh get down, baby, get ohhhhhh, groove",2130
1434,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,"happy well, least thought can't somebody tell what's got house, home, family man love who'd believe she'd leave u join burlesque show oh, say anybody seen sweet gypsy rose here's picture sweet mary jo got ring finger bell toe say anybody seen sweet gypsy rose oh, got wind jo's dancing new orleans smoke-filled honky-tonk call land dream oh, come strutting birthday clothes say anybody seen sweet gypsy rose oh baby, baby, come home say miss every night kiss picture oh rose, one night light go dim crowd go home that's day wake find alone let's say good-bye gypsy, hello mary jo say anybody seen sweet gypsy rose take ring finger bell toe say anybody seen know mean anybody seen gypsy rose",1055
1435,Keep on Truckin',Eddie Kendricks,"ooh ... ooh ... ooh ... keep truckin', baby got keep truckin' got get good lovin' huh ... huh ... huh ... huh ... huh ... shame double shame me, yeah love love, let control me, yeah one kiss, inspired lover time, there's fire i'll keep truckin', baby got keep truckin' hey, got get sweet lovin' huh ... huh ... huh ... huh ... baby, bad hard bear, yeah oh, yes, babe hard bear, yeah i've got fever rising desire love jones, feel like i'm fire i'll keep keep truckin', baby got keep truckin' hey, got get good lovin' huh ... huh ... huh ... huh ... feelin', oh no, can't stop feelin' feelin', oh no, can't stop feelin' no, (ooh, ooh, ooh, ooh keep truckin' keep truckin' keep truckin' keep truckin' keep truckin') yes, i've got fever (fever) burning desire love jones, feel like i'm fire i'll keep truckin', baby i'm red ball express lovin' diesel-powered straight you, i'm truckin' old temptation's rain, i'm duckin' love sleet snow, i'm truckin', ooh i'm red ball express lovin' diesel-powered straight you, i'm truckin' old temptation's rain, i'm duckin' love sleet snow, i'm truckin' can't nothin' hold back, nothin' i'll keep right on, right truckin' can't nothin' hold back, nothin' i'll keep right on, right truckin' ooh, ooh, ooh, ooh, truckin' ooh, ooh, ooh, ooh, ooh, truckin'",1608
1436,Danny's Song,Anne Murray,"people smile tell i'm lucky one we've begun, think i'm gonna son like me, free dove conceived love, sun gonna shine even though ain't got money, i'm love you, honey everything bring chain love morning rise, bring tear joy eye tell everything's gonna right love guy hold world paper cup drink up, love he'll bring luck find help mind, better take home yeah, live alone, try earn lover even though ain't got money, i'm love you, honey everything bring chain love morning rise, bring tear joy eye tell everything's gonna right even though ain't got money, i'm love you, honey everything bring chain love morning rise, bring tear joy eye tell everything's gonna right",1038
1437,Dancing in the Moonlight,King Harvest,"get every night ol' moon get big bright supernatural delight everybody dancing moonlight everybody sight bark bite keep thing loose, keep thing light everybody dancing moonlight dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight like fun never fight can't dance stay uptight supernatural delight everybody dancing moonlight dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight everybody sight bark bite keep thing loose, keep thing light everybody dancing moonlight everybody's dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight everybody's dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight (mmm-mmm) everybody's dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight everybody's dancing moonlight everybody's feeling warm bright fine natural sight everybody's dancing moonlight",1448
1438,Monster Mash,Bobby 'Boris' Pickett,"working lab, late one night eye beheld eerie sight monster slab, began rise suddenly surprise (he mash) monster mash (the monster mash) graveyard smash (he mash) caught flash (he mash) monster mash (wa-ooh) laboratory castle east (wa-ooh) master bedroom vampire feast (wah-wa-ooh) ghoul came humble abode (wa-ooh) get jolt electrode (they mash) monster mash (the monster mash) graveyard smash (they mash) caught flash (they mash) monster mash (wa-ooh) zombie fun (an-a-shoop) (ah-ooh) party begun (an-a-shoop) (ah-ooh) guest included wolfman (an-a-shoop) (ah-ooh) dracula, son (wa-ooh) scene rockin', digging sound (wa-ooh) igor chains, backed baying hound (wah-wa-ooh) coffin-bangers arrive (wa-ooh) vocal group, 'the crypt-kicker five' (they played mash) played monster mash (the monster mash) graveyard smash (they played mash) caught flash (they played mash) played monster mash (wa-ooh) coffin, drac's voice ring (wa-ooh) seems troubled one thing (wah-wa-ooh) opened lid shook fist, said (wa-ooh) ""whatever happened transylvania twist?"" (it's mash) monster mash (the monster mash) graveyard smash (it's mash) caught flash (it's mash) monster mash (wa-ooh) everything's cool, drac's part band (wa-ooh) monster mash hit land (wah-wa-ooh) you, living, mash meant (wa-ooh) get door, tell boris sent (then mash) monster mash (the monster mash) graveyard smash (then mash) catch flash (then mash) monster mash (wa-ooh) ugh, mash good! (monster mash!) (wa-ooh) easy, igor, impetuous young boy (monster mash!) (wa-ooh) argh, mash good! grrr! (monster mash!) (wa-ooh, monster mash!) (wa-ooh, monster mash!) (wa-ooh, monster mash!) (wa-ooh, monster mash!) (wa-ooh, monster mash!)",2383
1439,Natural High,Bloodstone,"keep mind time? even know (i know you) feel way thinking every day? even know (i know you) take arm thrill charm i'll take sky natural high (i wanna take sky) loving till day die (oh, natural high) take sky natural high (i want mine) loving more... anything do, call even know (i know you) (hey, genie) one wish give wish would live forever ever (i know you) see street heart skip beat i'll take sky natural high (i'll take sky) loving till day die (oh, natural high) take sky natural high (loving more) loving more... i'm gonna try thing want give chance (i know you) i'm trying make something nothing even know (i know you) take arm thrill charm i'll take sky natural high loving till day die take sky natural high loving more... i'll take sky natural high loving till day die take sky natural high loving, loving take sky natural high loving till day die take sky natural high loving, loving you...",1537
1440,Diamond Girl,Seals and Crofts,"diamond girl sure shine glad found glad mine oh, love like precious stone part earth heaven rained make difference day night time like shining star could shine without am, woah, oh diamond girl roaming wild rare thing radiant child could never find another one like part deep inside can't feel whole world turning real burning, yeah diamond girl i've found well, whoa, whoa, oh diamond girl sure shine diamond girl sure shine diamond girl sure shine diamond girl sure do, sure sure shine",740
1441,Long Train Runnin',The Doobie Brothers,"around corner half mile see long train runnin' watch 'em disappear without love would now? without love know saw miss lucy along track lost home family coming back without love would right now? without love well, illinois central southern central freight got keep pushin', mama 'cause know they're runnin' late without love would now-na-na-now? without love well, illinois central southern central freight got keep pushin', mama 'cause know they're runnin' late without love would now? without love well, piston keep churnin' wheel go 'round 'round steel rail lie cold hard mountain go without love would right now? without love ooh, would now? mmm, got get you, baby baby, move down? move down? baby, baby, baby, baby, move down? big train run train movin' got keep movin' keep movin' keep movin'? gonna keep movin'",1178
1442,Give Me Love (Give Me Peace on Earth),George Harrison,"give love, give love give peace earth give light, give life keep free birth give hope, help cope heavy load trying touch reach heart soul om... lord please take hold hand might understand please, oh, you? give love, give love give peace earth give light, give life keep free birth give hope, help cope heavy load trying to, touch reach heart soul om... lord please, oh, you? give love, give love give peace earth give light, give life keep free birth give hope, help cope heavy load trying to, touch reach heart soul give love, give love give peace earth give light, give life keep me, keep free birth give hope help cope heavy load trying to, touch reach heart soul om... lord...",990
1443,If You Want Me to Stay,Sly & the Family Stone,"want stay i'll around today available see go know stay here, got never doubt that's can't take granted smile count day i'm gone forget reachin' phone promise i'll gone see hope kind person really got get straight could ever late woman taking time? whoa, oh, could ever allow guess wonder could get pocket fun, how, how? know never number two number one's gonna number one ohh, ow, oohh i'll good, wish could get message see hope kind person really i'll good oh, wish could get message oh, yessir i'm good, man",969
1444,Daddy's Home,Jermaine Jackson,"love, angel girl dream i'd like thank waiting patiently daddy's home daddy's home stay i've waited moment side best friend wrote told teardrop eye daddy's home daddy's home stay sunday (monday tuesday went by) tuesday afternoon (all could cry) made promise treasured made back home i've waited moment side best friend wrote told teardrop eye daddy's home daddy's home stay daddy's home stay i'm thousand mile away",667
1445,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,"sad think we're gonna make gotten point can't fake ungodly reason let die guess neither one u (neither one u ) want first say good-bye keep wondering (wondering) i'm gonna without (do without you) guess must wondering thing go go together living lie neither one u (neither one us) want first say good-bye everytime find nerve everytime find nerve say i'm leaving old memories, old memory get way lord know heaven know i'm decieving come saying good-bye that's simple word cannot say way way happy ending no, go hurting pretending convincing give one try neither one u (neither one us) neither one u (neither one us) want first say neither one u (neither one us) want first say neither one u (neither one us) want first say farewell love goodbye",1192
1446,I'm Doin' Fine Now,New York City,"remember day left nearly cried death, oh yeah met someone else made stop get hold oh girl, i'm doin' fine without you, baby i'm doin' fine without baby remember day walked away ran behind begged stay, oh yeah never heard word said kept steppin', never turning head, yeah oh girl, i'm doin' fine without you, baby i'm doin' fine without you, baby do-do-do-do do-do-do-do-do do-do-do do-do-do-do i'm doin' fine without you, baby i'm doin' fine without you, baby (i'm doin' fine now) hey, chance baby, baby (i'm doin' fine now) (without baby) say, chance baby, baby (i'm doin' fine now) (without baby) want around (i'm doin' fine now) (without baby) chance (i'm doin' fine now) (without baby)",899
1447,Could It Be I'm Falling in Love,The Spinners,"since met i've begun feel strange every time speak name that's funny say helpless know night pray never come day take love away say feel way wonder feel (could i'm falling love) you, baby (could i'm falling love) woo (could i'm falling love) (with you) need thing used bring joy made happy boy honey, always meeting destiny sure never let need i'll around darling always heaven made specially (could i'm falling love) you, baby (could i'm falling love) woo (could i'm falling love) (with you) darling always heaven made specially (could i'm falling love) you, baby (could i'm falling love) want know now, baby (could i'm falling love) (with you) walk around heart hands, hey walk street long can, baby used sing fa fa fa fa right feel good, sing la la la la get up, let let feeling carry skip beat heart girl",1447
1448,Daniel,Elton John,"daniel travelin' tonight plane see red taillight headin' spain oh, see daniel wavin' goodbye god, look like daniel must cloud eye say spain pretty, though i've never daniel say best place he's ever seen oh, know, he's enough lord, miss daniel oh, miss much oh, daniel, brother, older still feel pain scar heal? eye died, see daniel, star face sky oh, daniel, brother, older still feel pain scar heal? eye died, see daniel, star face sky daniel travelin' tonight plane see red taillight headin' spain oh, see daniel wavin' goodbye god, look like daniel must cloud eye oh god, look like daniel must cloud eye",1003
